,DOWN,DISTANCEBIN,FIELDBIN,EXPECTEDPOINTS
86,1,"(15, 20]","(30, 35]",4.0
106,1,"(20, 30]","(30, 35]",1.0
126,1,"(30, 40]","(30, 35]",
146,1,"(40, 50]","(30, 35]",
166,2,"(0, 2]","(30, 35]",1.5618556701030928
186,2,"(2, 5]","(30, 35]",1.5850746268656717
206,2,"(5, 10]","(30, 35]",1.2628205128205128
226,2,"(10, 15]","(30, 35]",1.474074074074074
246,2,"(15, 20]","(30, 35]",-2.7
266,2,"(20, 30]","(30, 35]",-1.4
286,2,"(30, 40]","(30, 35]",
306,2,"(40, 50]","(30, 35]",
326,3,"(0, 2]","(30, 35]",0.44061302681992337
346,3,"(2, 5]","(30, 35]",0.3684210526315789
366,3,"(5, 10]","(30, 35]",0.319047619047619
386,3,"(10, 15]","(30, 35]",-0.9090909090909091
406,3,"(15, 20]","(30, 35]",-2.44
426,3,"(20, 30]","(30, 35]",-1.5454545454545454
446,3,"(30, 40]","(30, 35]",
466,3,"(40, 50]","(30, 35]",
486,4,"(0, 2]","(30, 35]",-1.4935897435897436
506,4,"(2, 5]","(30, 35]",-1.3623188405797102
526,4,"(5, 10]","(30, 35]",-1.6213592233009708
546,4,"(10, 15]","(30, 35]",-2.0163934426229506
566,4,"(15, 20]","(30, 35]",-2.857142857142857
586,4,"(20, 30]","(30, 35]",-3.0
606,4,"(30, 40]","(30, 35]",
626,4,"(40, 50]","(30, 35]",
7,1,"(0, 2]","(35, 40]",
27,1,"(2, 5]","(35, 40]",5.2
47,1,"(5, 10]","(35, 40]",1.7746820109024835
67,1,"(10, 15]","(35, 40]",2.7777777777777777
87,1,"(15, 20]","(35, 40]",3.0
107,1,"(20, 30]","(35, 40]",
127,1,"(30, 40]","(35, 40]",
147,1,"(40, 50]","(35, 40]",
167,2,"(0, 2]","(35, 40]",2.559322033898305
187,2,"(2, 5]","(35, 40]",1.7222222222222223
207,2,"(5, 10]","(35, 40]",1.1682626538987688
227,2,"(10, 15]","(35, 40]",2.96
247,2,"(15, 20]","(35, 40]",-1.0
267,2,"(20, 30]","(35, 40]",-6.428571428571429
287,2,"(30, 40]","(35, 40]",
307,2,"(40, 50]","(35, 40]",
327,3,"(0, 2]","(35, 40]",2.2
347,3,"(2, 5]","(35, 40]",0.9130434782608695
367,3,"(5, 10]","(35, 40]",0.24333333333333335
387,3,"(10, 15]","(35, 40]",-0.11267605633802817
407,3,"(15, 20]","(35, 40]",-2.076923076923077
427,3,"(20, 30]","(35, 40]",-2.4285714285714284
447,3,"(30, 40]","(35, 40]",
467,3,"(40, 50]","(35, 40]",
487,4,"(0, 2]","(35, 40]",-1.9523809523809523
507,4,"(2, 5]","(35, 40]",-0.18840579710144928
527,4,"(5, 10]","(35, 40]",-1.5826771653543308
547,4,"(10, 15]","(35, 40]",-0.56
567,4,"(15, 20]","(35, 40]",-1.8235294117647058
587,4,"(20, 30]","(35, 40]",-1.25
607,4,"(30, 40]","(35, 40]",
627,4,"(40, 50]","(35, 40]",
8,1,"(0, 2]","(40, 45]",
28,1,"(2, 5]","(40, 45]",1.0
48,1,"(5, 10]","(40, 45]",2.266609145815358
68,1,"(10, 15]","(40, 45]",1.9473684210526316
88,1,"(15, 20]","(40, 45]",3.4
108,1,"(20, 30]","(40, 45]",-7.0
128,1,"(30, 40]","(40, 45]",
148,1,"(40, 50]","(40, 45]",
168,2,"(0, 2]","(40, 45]",3.3738317757009346
188,2,"(2, 5]","(40, 45]",2.0238095238095237
208,2,"(5, 10]","(40, 45]",1.4945255474452555
228,2,"(10, 15]","(40, 45]",1.989247311827957
248,2,"(15, 20]","(40, 45]",0.44
268,2,"(20, 30]","(40, 45]",-2.3333333333333335
288,2,"(30, 40]","(40, 45]",
308,2,"(40, 50]","(40, 45]",
328,3,"(0, 2]","(40, 45]",1.1612903225806452
348,3,"(2, 5]","(40, 45]",1.2549019607843137
368,3,"(5, 10]","(40, 45]",0.8830645161290323
388,3,"(10, 15]","(40, 45]",0.2786885245901639
408,3,"(15, 20]","(40, 45]",-0.5714285714285714
428,3,"(20, 30]","(40, 45]",2.142857142857143
448,3,"(30, 40]","(40, 45]",
468,3,"(40, 50]","(40, 45]",
488,4,"(0, 2]","(40, 45]",-1.3225806451612903
508,4,"(2, 5]","(40, 45]",-0.43010752688172044
528,4,"(5, 10]","(40, 45]",-1.1546391752577319
548,4,"(10, 15]","(40, 45]",-1.375
568,4,"(15, 20]","(40, 45]",-1.2222222222222223
588,4,"(20, 30]","(40, 45]",0.0
608,4,"(30, 40]","(40, 45]",
628,4,"(40, 50]","(40, 45]",
9,1,"(0, 2]","(45, 50]",
29,1,"(2, 5]","(45, 50]",3.2222222222222223
49,1,"(5, 10]","(45, 50]",2.4957912457912457
69,1,"(10, 15]","(45, 50]",0.5161290322580645
89,1,"(15, 20]","(45, 50]",3.0
109,1,"(20, 30]","(45, 50]",-3.0
129,1,"(30, 40]","(45, 50]",
149,1,"(40, 50]","(45, 50]",
169,2,"(0, 2]","(45, 50]",2.8363636363636364
189,2,"(2, 5]","(45, 50]",2.318840579710145
209,2,"(5, 10]","(45, 50]",1.611439842209073
229,2,"(10, 15]","(45, 50]",0.9767441860465116
249,2,"(15, 20]","(45, 50]",3.0
269,2,"(20, 30]","(45, 50]",-0.25
289,2,"(30, 40]","(45, 50]",
309,2,"(40, 50]","(45, 50]",
329,3,"(0, 2]","(45, 50]",2.1092436974789917
349,3,"(2, 5]","(45, 50]",1.5441176470588236
369,3,"(5, 10]","(45, 50]",0.9113300492610837
389,3,"(10, 15]","(45, 50]",-1.152542372881356
409,3,"(15, 20]","(45, 50]",0.09090909090909091
429,3,"(20, 30]","(45, 50]",-0.6
449,3,"(30, 40]","(45, 50]",
469,3,"(40, 50]","(45, 50]",
489,4,"(0, 2]","(45, 50]",2.1666666666666665
509,4,"(2, 5]","(45, 50]",-2.6363636363636362
529,4,"(5, 10]","(45, 50]",0.2631578947368421
549,4,"(10, 15]","(45, 50]",-2.4166666666666665
569,4,"(15, 20]","(45, 50]",-2.272727272727273
589,4,"(20, 30]","(45, 50]",-3.3333333333333335
609,4,"(30, 40]","(45, 50]",
629,4,"(40, 50]","(45, 50]",
10,1,"(0, 2]","(50, 55]",7.0
30,1,"(2, 5]","(50, 55]",3.5714285714285716
50,1,"(5, 10]","(50, 55]",2.7197231833910034
70,1,"(10, 15]","(50, 55]",1.2272727272727273
90,1,"(15, 20]","(50, 55]",1.25
110,1,"(20, 30]","(50, 55]",0.0
130,1,"(30, 40]","(50, 55]",
150,1,"(40, 50]","(50, 55]",
170,2,"(0, 2]","(50, 55]",2.723076923076923
190,2,"(2, 5]","(50, 55]",2.3986013986013988
210,2,"(5, 10]","(50, 55]",2.4285714285714284
230,2,"(10, 15]","(50, 55]",0.7441860465116279
250,2,"(15, 20]","(50, 55]",1.4705882352941178
270,2,"(20, 30]","(50, 55]",2.6
290,2,"(30, 40]","(50, 55]",
310,2,"(40, 50]","(50, 55]",
330,3,"(0, 2]","(50, 55]",2.0
350,3,"(2, 5]","(50, 55]",1.348623853211009
370,3,"(5, 10]","(50, 55]",0.875
390,3,"(10, 15]","(50, 55]",-0.27586206896551724
410,3,"(15, 20]","(50, 55]",-1.5454545454545454
430,3,"(20, 30]","(50, 55]",2.2
450,3,"(30, 40]","(50, 55]",
470,3,"(40, 50]","(50, 55]",
490,4,"(0, 2]","(50, 55]",-0.2765957446808511
510,4,"(2, 5]","(50, 55]",-0.4339622641509434
530,4,"(5, 10]","(50, 55]",-0.8888888888888888
550,4,"(10, 15]","(50, 55]",-3.121212121212121
570,4,"(15, 20]","(50, 55]",-1.6666666666666667
590,4,"(20, 30]","(50, 55]",-3.0
610,4,"(30, 40]","(50, 55]",
630,4,"(40, 50]","(50, 55]",
11,1,"(0, 2]","(55, 60]",
31,1,"(2, 5]","(55, 60]",1.6666666666666667
51,1,"(5, 10]","(55, 60]",3.018575851393189
71,1,"(10, 15]","(55, 60]",3.7
91,1,"(15, 20]","(55, 60]",1.2222222222222223
111,1,"(20, 30]","(55, 60]",2.3333333333333335
131,1,"(30, 40]","(55, 60]",
151,1,"(40, 50]","(55, 60]",
171,2,"(0, 2]","(55, 60]",2.4526315789473685
191,2,"(2, 5]","(55, 60]",2.4339622641509435
211,2,"(5, 10]","(55, 60]",2.059665871121718
231,2,"(10, 15]","(55, 60]",1.2769230769230768
251,2,"(15, 20]","(55, 60]",1.0
271,2,"(20, 30]","(55, 60]",0.4
291,2,"(30, 40]","(55, 60]",7.0
311,2,"(40, 50]","(55, 60]",
331,3,"(0, 2]","(55, 60]",2.6792452830188678
351,3,"(2, 5]","(55, 60]",2.140625
371,3,"(5, 10]","(55, 60]",0.75
391,3,"(10, 15]","(55, 60]",0.8181818181818182
411,3,"(15, 20]","(55, 60]",-0.42857142857142855
431,3,"(20, 30]","(55, 60]",-3.3333333333333335
451,3,"(30, 40]","(55, 60]",
471,3,"(40, 50]","(55, 60]",
491,4,"(0, 2]","(55, 60]",2.2857142857142856
511,4,"(2, 5]","(55, 60]",0.6981132075471698
531,4,"(5, 10]","(55, 60]",-1.9333333333333333
551,4,"(10, 15]","(55, 60]",0.6363636363636364
571,4,"(15, 20]","(55, 60]",-2.0714285714285716
591,4,"(20, 30]","(55, 60]",1.4
611,4,"(30, 40]","(55, 60]",
631,4,"(40, 50]","(55, 60]",
12,1,"(0, 2]","(60, 65]",
32,1,"(2, 5]","(60, 65]",1.5
52,1,"(5, 10]","(60, 65]",3.0446247464503045
72,1,"(10, 15]","(60, 65]",1.3076923076923077
92,1,"(15, 20]","(60, 65]",0.45454545454545453
112,1,"(20, 30]","(60, 65]",2.0
132,1,"(30, 40]","(60, 65]",7.0
152,1,"(40, 50]","(60, 65]",
172,2,"(0, 2]","(60, 65]",3.6857142857142855
192,2,"(2, 5]","(60, 65]",3.786206896551724
212,2,"(5, 10]","(60, 65]",2.527638190954774
232,2,"(10, 15]","(60, 65]",2.7209302325581395
252,2,"(15, 20]","(60, 65]",-0.7777777777777778
272,2,"(20, 30]","(60, 65]",1.0
292,2,"(30, 40]","(60, 65]",
312,2,"(40, 50]","(60, 65]",
332,3,"(0, 2]","(60, 65]",3.632911392405063
352,3,"(2, 5]","(60, 65]",2.4857142857142858
372,3,"(5, 10]","(60, 65]",1.1071428571428572
392,3,"(10, 15]","(60, 65]",-0.44680851063829785
412,3,"(15, 20]","(60, 65]",-0.05263157894736842
432,3,"(20, 30]","(60, 65]",-3.75
452,3,"(30, 40]","(60, 65]",
472,3,"(40, 50]","(60, 65]",
492,4,"(0, 2]","(60, 65]",2.8958333333333335
512,4,"(2, 5]","(60, 65]",-0.44
532,4,"(5, 10]","(60, 65]",-1.375
552,4,"(10, 15]","(60, 65]",-1.7096774193548387
572,4,"(15, 20]","(60, 65]",0.3333333333333333
592,4,"(20, 30]","(60, 65]",4.2
612,4,"(30, 40]","(60, 65]",
632,4,"(40, 50]","(60, 65]",
13,1,"(0, 2]","(65, 70]",
33,1,"(2, 5]","(65, 70]",-0.5
53,1,"(5, 10]","(65, 70]",3.241830065359477
73,1,"(10, 15]","(65, 70]",1.1428571428571428
93,1,"(15, 20]","(65, 70]",1.3333333333333333
